date,areaType,areaCode,areaName,Lockdown?,Annotation,newCasesBySpecimenDateRollingRate
26/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,89.4
27/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,84.5
28/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,79.8
01/03/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,73.2
02/03/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,69.1
03/03/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,65.3
04/03/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,62.3
05/03/2021,overview,K02000001,United Kingdom,Lockdown,,60.5
06/03/2021,overview,K02000001,United Kingdom,Lockdown,,60
07/03/2021,overview,K02000001,United Kingdom,Lockdown,,59.4
08/03/2021,overview,K02000001,United Kingdom,Lockdown,,59.2
09/03/2021,overview,K02000001,United Kingdom,Lockdown,,58.7
