date,areaType,areaCode,areaName,Lockdown?,Annotation,newCasesBySpecimenDateRollingRate
23/04/2020,overview,K02000001,United Kingdom,Lockdown,,50.5
24/04/2020,overview,K02000001,United Kingdom,Lockdown,,50.6
25/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,49.1
26/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,48.5
27/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,48.3
28/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,48.3
29/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,48.2
30/04/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,47.9
01/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,47.5
02/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,46.8
03/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,46
04/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,44.1
05/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,42.5
06/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,40.1
07/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,38.3
08/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,35.8
09/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,34.2
10/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,33.2
11/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,33.5
12/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,33.1
13/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,32.3
14/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,30.6
15/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,29.8
16/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,29.7
17/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,29
18/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,27.5
19/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,27
20/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,26.1
21/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,26
22/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,25.3
23/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,24.5
24/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,23.8
25/05/2020,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,22.3
